bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metadata.formats.total,metadata.formats.types,metrics.difficulty.automated readability index,metrics.difficulty.coleman liau index,metrics.difficulty.dale chall readability score,metrics.difficulty.difficult words,metrics.difficulty.flesch kincaid grade,metrics.difficulty.flesch reading ease,metrics.difficulty.gunning fog,metrics.difficulty.linsear write formula,metrics.difficulty.smog index,metrics.sentiments.polarity,metrics.sentiments.subjectivity,metrics.statistics.average letter per word,metrics.statistics.average sentence length,metrics.statistics.average sentence per word,metrics.statistics.characters,metrics.statistics.polysyllables,metrics.statistics.sentences,metrics.statistics.syllables,metrics.statistics.words
PR,en,"Male friendship -- Fiction;Thames River (England) -- Fiction;Boats and boating -- England -- Thames River -- Fiction;Dogs -- Fiction;Humorous stories, English;Young men -- Travel -- England -- Thames River -- Fiction",Three Men in a Boat,Text,3647,308,67,https://www.gutenberg.org/ebooks/308,1859,1927,"Jerome, Jerome K. (Jerome Klapka)",19,"October 19, 2010",10,October,2010,7,"text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10,9.34,6.18,6772,7.2,77.57,9.6,4,3.1,0.06767916179,0.4749958645,4.59,19,0.05,306930,1271,3401,86480.1,66828
"PR,PZ",en,Fantasy,Through the Looking-Glass,Text,3626,12,68,https://www.gutenberg.org/ebooks/12,1832,1898,"Carroll, Lewis",1,"February, 1991",2,February,1991,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8.3,9.45,5.84,2700,5.6,81.63,8,10.5,3.1,0.08724284396,0.4866448054,4.71,15,0.07,137377,373,1938,37274.4,29170
PR,en,"Science fiction,Dystopias -- Fiction,Time travel -- Fiction",The Time Machine,Text,3599,35,69,https://www.gutenberg.org/ebooks/35,1866,1946,"Wells, H. G. (Herbert George)",2,"October 2, 2004",10,October,2004,6,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",9.3,9.86,6.54,4316,7.2,72.16,8.4,11,3.1,0.0543639262,0.4630411806,4.73,16,0.06,152740,1011,1902,44856,32298
HT,en,"Slaves -- United States -- Biography;Slaves -- Great Britain -- Biography;Equiano, Olaudah, 1745-1797","The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",Text,3526,15399,70,https://www.gutenberg.org/ebooks/15399,1745,1797,"Equiano, Olaudah",17,"March 17, 2005",3,March,2005,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",14.8,9.82,6.52,7539,11.1,67.42,13.6,4.5,3.1,0.1330969046,0.4869192441,4.57,29,0.03,377573,2010,2809,110958.3,82531
PS,en,"Immigrants -- Fiction,Political fiction,Meat industry and trade -- Fiction,Lithuanian Americans -- Fiction,Chicago (Ill.) -- Fiction,Stockyards -- Fiction,Working class -- Fiction",The Jungle,Text,3522,140,71,https://www.gutenberg.org/ebooks/140,1878,1968,"Sinclair, Upton",11,"March 11, 2006",3,March,2006,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",12,9.7,6.08,12320,8.7,73.51,11.2,17.5,3.1,0.04006833923,0.4644464232,4.6,23,0.04,686087,2947,6321,196649.1,149118
PS,en,"Civil disobedience;Solitude;Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods;Government, Resistance to;Natural history -- Massachusetts -- Walden Woods;Wilderness areas -- Massachusetts -- Walden Woods;Authors, American -- 19th century -- Biography;Walden Woods (Mass.) -- Social life and customs","Walden, and On The Duty Of Civil Disobedience",Text,3501,205,73,https://www.gutenberg.org/ebooks/205,1817,1862,"Thoreau, Henry David",1,"January, 1995",1,January,1995,7,"application/rdf+xml,text/plain; charset=utf-8,text/html; charset=iso-8859-1,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",14.5,9.93,6.67,12047,11.8,59.98,13.2,58,3.1,0.1139607558,0.4893316236,4.64,28,0.04,536586,3414,4113,157520.7,115646
PR,en,"England -- Fiction,Political fiction,Education -- Fiction,Utilitarianism -- Fiction,Social problems -- Fiction,Domestic fiction",Hard Times,Text,3494,786,74,https://www.gutenberg.org/ebooks/786,1812,1870,"Dickens, Charles",17,"March 17, 2013",3,March,2013,6,"text/html,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",9.1,10.03,6.04,10494,6,80.62,8.4,8,3.1,0.08739687382,0.4984569708,4.76,16,0.06,491593,2587,6369,137771.1,103230
PG,en,"Brothers -- Fiction,Fathers and sons -- Fiction,Didactic fiction,Russia -- Social life and customs -- 1533-1917 -- Fiction",The Brothers Karamazov,Text,3478,28054,75,https://www.gutenberg.org/ebooks/28054,1821,1881,"Dostoyevsky, Fyodor",12,"February 12, 2009",2,February,2009,10,"text/plain; charset=utf-8,text/plain; charset=us-ascii,text/html; charset=utf-8,application/pdf,application/prs.tei,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",8.1,9.5,5.24,20241,6.4,74.19,7.6,2.5,3.1,0.0704229905,0.5213109525,4.72,14,0.07,1651301,9371,23925,474897.6,350214
PQ,en,"Short stories, French -- Translations into English",Complete Original Short Stories of Guy De Maupassant,Text,3437,3090,77,https://www.gutenberg.org/ebooks/3090,1850,1893,"Maupassant, Guy de",2,"October 2, 2004",10,October,2004,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",9.8,9.86,5.41,28790,6.4,79.6,8.8,11,3.1,0.06199086278,0.4869635909,4.73,17,0.06,2322316,10385,27322,659071.8,490717
PE,en,"English language -- Composition and exercises;English language -- Grammar -- Problems, exercises, etc.",Practical Grammar and Composition,Text,3434,22577,78,https://www.gutenberg.org/ebooks/22577,1883,0,"Wood, Thomas",11,"September 11, 2007",9,September,2007,7,"application/rdf+xml,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",8.6,11.53,6.15,7927,5.2,77.23,6.4,11,3.1,0.07272736012,0.4707753783,5.12,11,0.08,326211,2252,5396,88321.5,63677
